País,MAPE_Mean,MAPE_Std,RMSE_Mean,N_Folds
ARGENTINA,0.3691712873770958,0.2005450268641642,162791742.94048777,3
COLOMBIA,0.4683335249673202,0.14947413168363305,95043262.29416664,3
COSTA RICA,0.29344870845514615,0.16764041473450778,279457026.9206452,3
EL SALVADOR,0.8129974367721822,0.430286657711009,393066996.1249068,3
GUATEMALA,30.955722233517125,40.460644424942515,144087522.48282573,3
HONDURAS,0.5124197543086484,0.2418437388930086,383530997.3974406,3
NICARAGUA,0.5901673717366407,0.22971494966361164,221448072.13439205,3
PANAMÁ,0.4999418530622304,0.04059948001208941,97339918.07929683,3
REPÚBLICA DOMINICANA,2.143683447134514,1.1768561117959386,422775038.1860647,3
