País,Residual_Mean,Residual_Std
ARGENTINA,-199191183.2,214124686.13064355
BELICE,5731963.0,13998752.753282629
COLOMBIA,-128053722.66666667,98473945.64441803
COSTA RICA,-404285740.8,250131046.30322385
EL SALVADOR,-174601264.0,310499440.16601485
GUATEMALA,37123822.4,117522482.89199127
HONDURAS,-244837359.264,137645096.4967074
NICARAGUA,126996486.5025,243477454.89100873
PANAMÁ,53928768.0,69319393.53462364
REPÚBLICA DOMINICANA,-334102842.2,327947834.48407215
